symbol,observed_days,observation_rate
1000SATS,352,0.1927710843373494
999,27,0.014786418400876232
ABBC,507,0.27765607886089816
ABT,63,0.03450164293537788
ACA,185,0.10131434830230011
ACE,29,0.01588170865279299
ACH,247,0.13526834611171962
ACT,36,0.019715224534501644
ADX,1,0.000547645125958379
AERO,77,0.04216867469879518
AEVO,219,0.11993428258488499
AGI,114,0.0624315443592552
AGIX,692,0.37897042716319823
AI,2,0.001095290251916758
AIB,18,0.009857612267250822
AION,5,0.002738225629791895
AIOZ,309,0.1692223439211391
AKRO,27,0.014786418400876232
AKT,509,0.2787513691128149
ALICE,263,0.14403066812705367
ALPHA,373,0.20427163198247536
ALT,232,0.12705366922234393
AMP,951,0.5208105147864184
AMPL,367,0.2009857612267251
ANC,108,0.05914567360350493
ANT,1069,0.5854326396495071
AOA,8,0.004381161007667032
APE,1020,0.5585980284775466
API3,208,0.11391018619934283
APT,804,0.4403066812705367
ARAW,13,0.007119386637458927
ARB,649,0.35542168674698793
ARDR,487,0.2667031763417306
ARK,246,0.13472070098576122
ARKM,304,0.1664841182913472
ARPA,3,0.0016429353778751369
ASD,122,0.06681270536692223
ASTR,805,0.4408543263964951
ATH,27,0.014786418400876232
ATT,17,0.009309967141292442
AUDIO,937,0.5131434830230011
AURORA,2,0.001095290251916758
AVA,145,0.07940854326396495
AVINOC,2,0.001095290251916758
AXL,661,0.3619934282584885
AXS,1273,0.6971522453450164
BABYDOGE,139,0.07612267250821468
BADGER,211,0.11555312157721796
BAKE,240,0.13143483023001096
BAL,910,0.49835706462212487
BAND,872,0.47754654983570644
BAY,23,0.012595837897042717
BCD,626,0.3428258488499452
BCN,4,0.002190580503833516
BDX,7,0.0038335158817086527
BEAM,413,0.2261774370208105
BGB,469,0.2568455640744797
BICO,655,0.35870755750273825
BIGTIME,5,0.002738225629791895
BIT,279,0.15279299014238773
BLAST,69,0.03778751369112815
BLOK,11,0.006024096385542169
BLUR,686,0.37568455640744797
BLZ,7,0.0038335158817086527
BNT,677,0.37075575027382257
BNX,465,0.2546549835706462
BOBA,47,0.02573932092004381
BOME,290,0.1588170865279299
BOND,6,0.0032858707557502738
BONE,398,0.21796276013143484
BONK,390,0.21358159912376778
BORA,861,0.4715224534501643
BOTX,62,0.033953997809419496
BPC,26,0.014238773274917854
BPS,65,0.035596933187294635
BRC,58,0.03176341730558598
BRETT,203,0.11117196056955093
BRG,33,0.018072289156626505
BRISE,136,0.07447973713033954
BTCB,447,0.2447973713033954
BTCP,1,0.000547645125958379
BTCST,429,0.23493975903614459
BTM,177,0.09693318729463307
BTMX,147,0.08050383351588171
BTRS,18,0.009857612267250822
BTRST,460,0.25191675794085433
BTS,214,0.1171960569550931
BTTOLD,1,0.000547645125958379
BZRX,13,0.007119386637458927
BZT,11,0.006024096385542169
C98,147,0.08050383351588171
CATI,3,0.0016429353778751369
CBUCKS,1,0.000547645125958379
CCXX,147,0.08050383351588171
CEEK,360,0.19715224534501644
CEL,901,0.49342825848849947
CELR,819,0.4485213581599124
CENNZ,3,0.0016429353778751369
CFG,337,0.18455640744797372
CFX,1164,0.6374589266155531
CHEEL,1,0.000547645125958379
CHILLGUY,2,0.001095290251916758
CHR,399,0.2185104052573932
CHSB,867,0.47480832420591457
CNNC,11,0.006024096385542169
CNT,5,0.002738225629791895
CNX,100,0.054764512595837894
COCOS,32,0.017524644030668127
COMBO,2,0.001095290251916758
COQ,7,0.0038335158817086527
CORE,544,0.29791894852135814
COTI,542,0.2968236582694414
CQT,4,0.002190580503833516
CRE,19,0.0104052573932092
CSPR,1093,0.5985761226725083
CTC,49,0.02683461117196057
CTK,2,0.001095290251916758
CTSI,456,0.2497261774370208
CVC,558,0.30558598028477546
CVN,1,0.000547645125958379
CVT,203,0.11117196056955093
CVX,925,0.5065717415115005
CYBER,1,0.000547645125958379
DAG,263,0.14403066812705367
DAO,466,0.2552026286966046
DAR,14,0.007667031763417305
DATA,17,0.009309967141292442
DENT,510,0.2792990142387733
DERO,38,0.0208105147864184
DESO,85,0.04654983570646221
DEV,4,0.002190580503833516
DEXE,308,0.1686746987951807
DFI,26,0.014238773274917854
DGB,1311,0.7179627601314348
DGD,1,0.000547645125958379
DGTX,1,0.000547645125958379
DIA,1,0.000547645125958379
DIVI,127,0.06955093099671412
DMCH,23,0.012595837897042717
DNA,84,0.04600219058050383
DNT,51,0.02792990142387733
DODO,173,0.09474260679079956
DOG,63,0.03450164293537788
DOGS,100,0.054764512595837894
DRIFT,7,0.0038335158817086527
DUSK,44,0.024096385542168676
DVI,74,0.040525739320920046
DX,83,0.045454545454545456
DYDX,965,0.5284775465498357
DYM,317,0.17360350492880613
EDC,6,0.0032858707557502738
EDLC,3,0.0016429353778751369
EDR,1,0.000547645125958379
EDU,152,0.0832420591456736
EFI,2,0.001095290251916758
EIGEN,91,0.049835706462212484
ELA,3,0.0016429353778751369
ELAMA,97,0.05312157721796276
ELF,942,0.515881708652793
ELON,605,0.3313253012048193
ENA,273,0.14950711938663747
ENS,1069,0.5854326396495071
EPS,129,0.07064622124863089
ERC20,2,0.001095290251916758
ERD,63,0.03450164293537788
ERG,195,0.10679079956188389
ESCE,11,0.006024096385542169
ETHDYDX,385,0.21084337349397592
ETHFI,268,0.14676889375684557
ETHW,800,0.43811610076670315
ETN,14,0.007667031763417305
EURS,12,0.0065717415115005475
EVER,135,0.07393209200438117
EWT,660,0.3614457831325301
FAB,2,0.001095290251916758
FARTCOIN,11,0.006024096385542169
FDUSD,431,0.23603504928806135
FET,1220,0.6681270536692223
FIDA,2,0.001095290251916758
FIRO,1,0.000547645125958379
FLG,59,0.03231106243154436
FLOKI,675,0.3696604600219058
FLR,681,0.3729463307776561
FLUX,932,0.5104052573932092
FNSA,18,0.009857612267250822
FRONT,1,0.000547645125958379
FUN,277,0.15169769989047097
FX,293,0.16046002190580505
FXC,75,0.04107338444687842
FXS,730,0.39978094194961666
G,88,0.04819277108433735
GAL,353,0.19331872946330778
GALA,1141,0.6248630887185104
GAS,370,0.20262869660460023
GCR,13,0.007119386637458927
GF,14,0.007667031763417305
GIGA,20,0.01095290251916758
GLMR,806,0.4414019715224535
GMT,1019,0.5580503833515882
GMX,691,0.3784227820372399
GNT,52,0.028477546549835708
GOAT,68,0.03723986856516977
GRASS,20,0.01095290251916758
GTC,19,0.0104052573932092
GTN,15,0.008214676889375685
GXC,1,0.000547645125958379
HC,7,0.0038335158817086527
HEDG,450,0.24644030668127054
HEX,158,0.08652792990142388
HFT,38,0.0208105147864184
HIFI,3,0.0016429353778751369
HIGH,10,0.00547645125958379
HIVE,1019,0.5580503833515882
HMR,70,0.038335158817086525
HMSTR,34,0.018619934282584884
HNS,49,0.02683461117196057
HOOK,30,0.01642935377875137
HPT,2,0.001095290251916758
HXRO,60,0.03285870755750274
HYN,158,0.08652792990142388
HYPE,11,0.006024096385542169
ICH,63,0.03450164293537788
ICP,1329,0.7278203723986857
ID,407,0.22289156626506024
ILV,750,0.41073384446878425
IMX,1141,0.6248630887185104
INB,143,0.0783132530120482
INJ,1336,0.7316538882803943
INNBCL,1,0.000547645125958379
INO,266,0.1456736035049288
IO,158,0.08652792990142388
IOST,1108,0.6067907995618839
IOTA,454,0.24863088718510407
IQ,73,0.039978094194961664
IRIS,52,0.028477546549835708
JASMY,762,0.4173055859802848
JOE,284,0.15553121577217963
JST,1249,0.6840087623220154
JTO,351,0.192223439211391
JUP,335,0.18346111719605696
KAIA,61,0.033406352683461114
KAS,418,0.2289156626506024
KDA,901,0.49342825848849947
KEEP,362,0.1982475355969332
KICK,6,0.0032858707557502738
KIN,112,0.06133625410733844
KLAY,1314,0.71960569550931
KMD,141,0.07721796276013143
KNC,974,0.5334063526834611
KNCL,3,0.0016429353778751369
KP3R,36,0.019715224534501644
KWD,1,0.000547645125958379
LAMB,2,0.001095290251916758
LBC,2,0.001095290251916758
LCX,12,0.0065717415115005475
LDO,967,0.5295728368017525
LEND,106,0.05805038335158817
LINA,4,0.002190580503833516
LIT,25,0.013691128148959474
LN,42,0.023001095290251915
LOC,16,0.008762322015334063
LOCUS,4,0.002190580503833516
LOOKS,40,0.02190580503833516
LOOM,123,0.06736035049288061
LQTY,165,0.09036144578313253
LRG,105,0.05750273822562979
LSK,1279,0.7004381161007667
LTO,32,0.017524644030668127
LUNC,845,0.46276013143483025
MAGIC,451,0.2469879518072289
MAID,330,0.18072289156626506
MANTA,342,0.18729463307776562
MARO,8,0.004381161007667032
MASK,743,0.4069003285870756
MAV,2,0.001095290251916758
MB,10,0.00547645125958379
MBL,11,0.006024096385542169
MBOX,38,0.0208105147864184
MBX,23,0.012595837897042717
MC,127,0.06955093099671412
MCO,147,0.08050383351588171
MDX,336,0.18400876232201532
ME,20,0.01095290251916758
MED,621,0.34008762322015335
MEME,422,0.23110624315443593
META,103,0.05640744797371303
METIS,434,0.23767798466593648
MEW,256,0.140197152245345
MFT,63,0.03450164293537788
MICRO,2,0.001095290251916758
MIN,257,0.14074479737130338
MINA,1286,0.7042716319824753
MLK,34,0.018619934282584884
MLN,143,0.0783132530120482
MNT,525,0.28751369112814895
MOB,231,0.12650602409638553
MOBI,9,0.004928806133625411
MOBILE,74,0.040525739320920046
MOCA,1,0.000547645125958379
MOF,18,0.009857612267250822
MOG,204,0.11171960569550932
MONA,231,0.12650602409638553
MOODENG,6,0.0032858707557502738
MORPHO,13,0.007119386637458927
MOVE,20,0.01095290251916758
MOVR,191,0.10460021905805038
MRPH,19,0.0104052573932092
MTL,167,0.0914567360350493
MULTI,85,0.04654983570646221
MVL,133,0.0728368017524644
MWC,130,0.07119386637458927
MX,846,0.4633077765607886
MXC,294,0.16100766703176342
MXM,5,0.002738225629791895
NANO,574,0.3143483023001095
NCT,1,0.000547645125958379
NEIRO,83,0.045454545454545456
NEST,18,0.009857612267250822
NFT,983,0.5383351588170865
NKN,284,0.15553121577217963
NMR,490,0.2683461117196057
NOIA,105,0.05750273822562979
NOT,229,0.1254107338444688
NPXS,86,0.047097480832420595
NRG,14,0.007667031763417305
NTRN,95,0.052026286966046005
NU,635,0.34775465498357067
NXM,165,0.09036144578313253
NXS,2,0.001095290251916758
NYM,8,0.004381161007667032
OAS,17,0.009309967141292442
OCEAN,1333,0.7300109529025192
OGN,364,0.19934282584884994
OM,293,0.16046002190580505
OMG,1181,0.6467688937568455
ONDO,345,0.18893756845564075
ONE,1179,0.6456736035049289
ONG,511,0.27984665936473163
OP,887,0.48576122672508215
ORBS,507,0.27765607886089816
ORCA,2,0.001095290251916758
ORDI,420,0.23001095290251916
OSMO,781,0.42771084337349397
OXT,398,0.21796276013143484
PAXG,1333,0.7300109529025192
PENDLE,383,0.20974808324205915
PENGU,14,0.007667031763417305
PEOPLE,546,0.29901423877327493
PEPE,607,0.332420591456736
PERP,282,0.15443592552026286
PHA,143,0.0783132530120482
PIXEL,91,0.049835706462212484
PLA,393,0.21522453450164294
PLF,151,0.08269441401971522
PNK,1,0.000547645125958379
PNUT,48,0.02628696604600219
POL,120,0.06571741511500548
POLS,130,0.07119386637458927
POLY,759,0.41566265060240964
POLYX,260,0.14238773274917854
POND,1,0.000547645125958379
PONKE,64,0.03504928806133625
POPCAT,161,0.08817086527929902
PORTAL,18,0.009857612267250822
POWR,374,0.20481927710843373
PPT,68,0.03723986856516977
PRIME,405,0.22179627601314347
PRO,11,0.006024096385542169
PROM,258,0.14129244249726178
PUNDIX,372,0.20372398685651696
PYR,227,0.12431544359255203
PYTH,382,0.20920043811610076
PYUSD,303,0.16593647316538881
PZM,74,0.040525739320920046
QKC,48,0.02628696604600219
RAD,18,0.009857612267250822
RAY,651,0.3565169769989047
RBN,336,0.18400876232201532
RDD,46,0.025191675794085433
RDNT,2,0.001095290251916758
REEF,390,0.21358159912376778
REN,879,0.4813800657174151
RENBTC,588,0.32201533406352684
RENDER,165,0.09036144578313253
REP,674,0.36911281489594744
REPV2,1,0.000547645125958379
REQ,381,0.2086527929901424
REV,642,0.3515881708652793
REW,3,0.0016429353778751369
RFR,2,0.001095290251916758
RGT,39,0.02135815991237678
RIF,321,0.17579408543263966
RLC,565,0.3094194961664841
RLY,212,0.11610076670317634
RNDR,900,0.4928806133625411
RON,383,0.20974808324205915
ROSE,1301,0.712486308871851
RPL,661,0.3619934282584885
RSR,1256,0.687842278203724
RSS3,29,0.01588170865279299
SAFE,213,0.11664841182913473
SAGA,70,0.038335158817086525
SATS,30,0.01642935377875137
SCR,7,0.0038335158817086527
SCRT,602,0.32968236582694416
SEELE,7,0.0038335158817086527
SEI,504,0.276013143483023
SFI,32,0.017524644030668127
SFP,714,0.3910186199342826
SFUND,34,0.018619934282584884
SHIB,1333,0.7300109529025192
SHR,9,0.004928806133625411
SKL,1248,0.683461117196057
SLP,286,0.1566265060240964
SNM,9,0.004928806133625411
SNT,695,0.38061336254107336
SOLO,60,0.03285870755750274
SOS,32,0.017524644030668127
SOUL,59,0.03231106243154436
SPELL,216,0.11829134720700986
SPND,11,0.006024096385542169
SPX,20,0.01095290251916758
SRM,681,0.3729463307776561
SSV,721,0.3948521358159912
STAKE,14,0.007667031763417305
STEEM,281,0.1538882803943045
STETH,3,0.0016429353778751369
STG,209,0.1144578313253012
STMX,291,0.1593647316538883
STO,16,0.008762322015334063
STORJ,1122,0.6144578313253012
STP,33,0.018072289156626505
STPT,63,0.03450164293537788
STRAX,371,0.2031763417305586
STRK,387,0.21193866374589265
SUI,608,0.3329682365826944
SUN,107,0.05859802847754655
SUPER,492,0.26944140197152244
SURE,2,0.001095290251916758
SUSHI,1314,0.71960569550931
SWAP,94,0.05147864184008762
SXP,1181,0.6467688937568455
SYN,112,0.06133625410733844
SYS,456,0.2497261774370208
T,698,0.3822562979189485
TAGZ5,87,0.04764512595837897
TAO,311,0.17031763417305587
TEL,510,0.2792990142387733
THR,111,0.06078860898138007
THX,72,0.03943044906900329
TIA,427,0.23384446878422782
TIME,21,0.011500547645125958
TKO,5,0.002738225629791895
TMTG,140,0.07667031763417305
TNC,126,0.06900328587075576
TOMI,96,0.05257393209200438
TOMO,364,0.19934282584884994
TON,831,0.4550930996714129
TRAC,632,0.34611171960569553
TRB,176,0.0963855421686747
TRIBE,212,0.11610076670317634
TRU,1,0.000547645125958379
TSHP,3,0.0016429353778751369
TT,9,0.004928806133625411
TURBO,48,0.02628696604600219
TWT,1036,0.5673603504928806
UBT,335,0.18346111719605696
UMA,1266,0.6933187294633077
UNFI,12,0.0065717415115005475
UNIBOT,36,0.019715224534501644
UOS,393,0.21522453450164294
UQC,135,0.07393209200438117
USDD,966,0.5290251916757941
USDE,30,0.01642935377875137
USDN,654,0.35815991237677985
USDP,890,0.4874041621029573
UST,523,0.2864184008762322
USUAL,13,0.007119386637458927
UTK,162,0.0887185104052574
VAI,50,0.027382256297918947
VANA,13,0.007119386637458927
VANRY,9,0.004928806133625411
VEST,67,0.03669222343921139
VGX,688,0.37677984665936476
VIC,12,0.0065717415115005475
VIDT,6,0.0032858707557502738
VIRTUAL,27,0.014786418400876232
VLX,487,0.2667031763417306
VRA,44,0.024096385542168676
VSYS,4,0.002190580503833516
VTHO,377,0.20646221248630886
W,271,0.1484118291347207
WAN,141,0.07721796276013143
WASTR,3,0.0016429353778751369
WAXP,1065,0.5832420591456736
WBTC,1230,0.6736035049288062
WEMIX,382,0.20920043811610076
WHBAR,2,0.001095290251916758
WIF,346,0.18948521358159912
WILD,11,0.006024096385542169
WIN,545,0.29846659364731654
WKAVA,1,0.000547645125958379
WLD,526,0.28806133625410735
WNXM,8,0.004381161007667032
WRX,401,0.21960569550930997
WTC,1,0.000547645125958379
WTRX,6,0.0032858707557502738
WXT,50,0.027382256297918947
XAI,64,0.03504928806133625
XAUT,561,0.3072289156626506
XCH,892,0.488499452354874
XCN,150,0.08214676889375684
XDB,281,0.1538882803943045
XDC,1322,0.723986856516977
XDCE,6,0.0032858707557502738
XEC,1208,0.6615553121577218
XET,44,0.024096385542168676
XHV,124,0.06790799561883899
XIN,58,0.03176341730558598
XNO,361,0.1976998904709748
XOR,47,0.02573932092004381
XPR,20,0.01095290251916758
XPRT,152,0.0832420591456736
XRD,252,0.1380065717415115
XT,1,0.000547645125958379
XTN,7,0.0038335158817086527
XTP,46,0.025191675794085433
XVG,504,0.276013143483023
XVS,289,0.15826944140197152
XYM,438,0.23986856516976998
XYO,319,0.1746987951807229
YFI,1301,0.712486308871851
YFII,65,0.035596933187294635
YGG,159,0.08707557502738225
ZB,547,0.29956188389923327
ZBU,2,0.001095290251916758
ZEN,1103,0.604052573932092
ZEREBRO,5,0.002738225629791895
ZETA,257,0.14074479737130338
ZK,197,0.10788608981380066
ZKS,172,0.09419496166484119
ZLW,92,0.050383351588170866
ZRO,194,0.10624315443592552
